"occ","y4_hhid","lvstckid","lf02_01","lf02_02","lf02_03","lf02_04_1","lf02_04_2","lf02_05","lf02_06","lf02_07","lf02_08","lf02_09","lf02_10","lf02_11","lf02_12","lf02_13","lf02_14","lf02_15","lf02_16","lf02_17","lf02_18","lf02_19","lf02_20","lf02_21","lf02_22","lf02_23","lf02_24","lf02_25","lf02_26","lf02_27_1","lf02_27_2","lf02_28_1","lf02_28_2","lf02_29","lf02_30","lf02_31","lf02_32","lf02_33","lf02_34_1","lf02_34_2","lf02_35_1","lf02_35_2"
2,"2159-001",2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"2159-001",3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"2159-001",4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"2159-001",5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"2159-001",6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"2159-001",7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"2159-001",8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"2159-001",9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"2159-001",10,1,0,2,2,0,0,1,2,5000,2,,,2,,,2,,,2,,,2,,,2,,,,,,,2,,,,,,,,
11,"2159-001",11,1,0,1,1,0,0,1,1,3000,2,,,2,,,2,,,2,,,2,,,2,,,,,,,2,,,,,,,,
12,"2159-001",12,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"2159-001",13,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"2159-001",14,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"2159-001",15,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,"2159-001",16,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"2160-001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"2161-001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"2162-001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"2163-001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"2164-001",1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"2164-001",2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"2164-001",3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"2164-001",4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"2164-001",5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"2164-001",6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"2164-001",7,1,1,2,1,0,1,2,,,2,,,2,,,1,1,15000,2,,,2,,,2,,,,,,,2,,,,,,,,
8,"2164-001",8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"2164-001",9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"2164-001",10,1,0,6,4,0,3,1,1,5000,2,,,2,,,2,,,2,,,2,,,2,,,,,,,1,2,1750,0,,,,,
11,"2164-001",11,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"2164-001",12,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"2164-001",13,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"2164-001",14,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"2164-001",15,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,"2164-001",16,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"2165-001",1,1,6,11,6,0,,2,,,2,,,2,,,2,,,2,,,2,,,1,5,3000000,1,,"LF01",,2,,,,,,,,
2,"2165-001",2,1,8,20,14,0,,2,,,2,,,2,,,2,,,2,,,2,,,1,6,3000000,1,,"LF01",,2,,,,,,,,
3,"2165-001",3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"2165-001",4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"2165-001",5,1,5,6,8,0,8,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,,2,,,,,,,,
6,"2165-001",6,1,3,14,12,0,12,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,,2,,,,,,,,
7,"2165-001",7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"2165-001",8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"2165-001",9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"2165-001",10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,"2165-001",11,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"2165-001",12,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"2165-001",13,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"2165-001",14,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"2165-001",15,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,"2165-001",16,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"2166-001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"2178-001",1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"2178-001",2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"2178-001",3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"2178-001",4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"2178-001",5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"2178-001",6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"2178-001",7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"2178-001",8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"2178-001",9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"2178-001",10,1,15,23,10,0,9,2,,,2,,,2,,,2,,,2,,,1,7,30000,2,,,,,,,1,4,6,0,,,,,
11,"2178-001",11,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"2178-001",12,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"2178-001",13,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"2178-001",14,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"2178-001",15,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,"2178-001",16,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"2179-001",1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"2179-001",2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"2179-001",3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"2179-001",4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"2179-001",5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"2179-001",6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"2179-001",7,1,6,8,4,0,4,2,,,2,,,2,,,2,,,2,,,2,,,1,2,80000,1,2,"LF01",,1,2,25,0,,,,,
8,"2179-001",8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"2179-001",9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"2179-001",10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,"2179-001",11,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"2179-001",12,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"2179-001",13,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"2179-001",14,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"2179-001",15,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,"2179-001",16,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"2180-001",1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"2180-001",2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"2180-001",3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"2180-001",4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"2180-001",5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"2180-001",6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"2180-001",7,1,6,3,3,0,2,2,,,2,,,2,,,1,2,70000,1,1,50000,2,,,2,,,,,,,1,1,10,1,28000,"LF01",,1,2
8,"2180-001",8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"2180-001",9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"2180-001",10,1,0,7,7,0,2,1,7,35000,2,,,2,,,2,,,2,,,2,,,2,,,,,,,2,,,,,,,,
11,"2180-001",11,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"2180-001",12,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"2180-001",13,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"2180-001",14,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"2180-001",15,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,"2180-001",16,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"2181-001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"2182-001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"2183-001",1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"2183-001",2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"2183-001",3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"2183-001",4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"2183-001",5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"2183-001",6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"2183-001",7,1,0,2,2,0,0,1,2,50000,2,,,2,,,2,,,2,,,2,,,2,,,,,,,2,,,,,,,,
8,"2183-001",8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"2183-001",9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"2183-001",10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,"2183-001",11,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"2183-001",12,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"2183-001",13,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"2183-001",14,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"2183-001",15,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,"2183-001",16,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"2184-001",1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"2184-001",2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"2184-001",3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"2184-001",4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"2184-001",5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"2184-001",6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"2184-001",7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"2184-001",8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"2184-001",9,1,6,25,,23,18,2,,,2,,,2,,,2,,,2,,,2,,,1,1,60000,1,,"LF01",,1,1,28,23,80500,"LF01",,1,2
10,"2184-001",10,1,4,24,9,0,12,2,,,2,,,2,,,1,10,10000,2,,,2,,,2,,,,,,,1,5,1.5,0,,,,,
11,"2184-001",11,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"2184-001",12,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"2184-001",13,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"2184-001",14,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"2184-001",15,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,"2184-001",16,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"2185-001",1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"2185-001",2,1,0,1,0,1,,1,1,630000,2,,,2,,,2,,,2,,,2,,,2,,,,,,,2,,,,,,,,
3,"2185-001",3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"2185-001",4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"2185-001",5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"2185-001",6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"2185-001",7,1,2,5,0,7,2,1,1,35000,1,2,1,2,,,1,1,30000,2,,,2,,,2,,,,,,,2,,,,,,,,
8,"2185-001",8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"2185-001",9,1,0,9,,3,7,2,,,1,2,2,2,,,2,,,2,,,2,,,1,6,180000,1,,"LF01",,2,,,,,,,,
10,"2185-001",10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,"2185-001",11,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"2185-001",12,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"2185-001",13,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"2185-001",14,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"2185-001",15,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,"2185-001",16,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"2197-001",1,1,2,2,2,0,,2,,,2,,,2,,,2,,,2,,,2,,,1,2,500000,1,2,"LF01",,2,,,,,,,,
2,"2197-001",2,1,24,17,17,0,,2,,,2,,,2,,,1,6,2400000,1,1,450000,2,,,2,,,,,,,1,1,250,0,,,,,
3,"2197-001",3,1,10,8,8,0,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,,2,,,,,,,,
4,"2197-001",4,1,18,13,13,0,,1,2,900000,2,,,1,2,1,2,,,1,2,900000,2,,,1,3,930000,1,2,"LF01",,2,,,,,,,,
5,"2197-001",5,1,6,2,2,0,6,2,,,2,,,1,2,1,1,3,300000,2,,,2,,,2,,,,,,,2,,,,,,,,
6,"2197-001",6,1,7,3,3,0,7,2,,,2,,,2,,,1,5,500000,2,,,1,2,200000,2,,,,,,,2,,,,,,,,
7,"2197-001",7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"2197-001",8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"2197-001",9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"2197-001",10,1,6,6,6,0,2,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,,2,,,,,,,,
11,"2197-001",11,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"2197-001",12,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"2197-001",13,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"2197-001",14,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"2197-001",15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,"2197-001",16,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"2198-001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"2199-001",1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"2199-001",2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"2199-001",3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"2199-001",4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"2199-001",5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"2199-001",6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"2199-001",7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"2199-001",8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"2199-001",9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"2199-001",10,1,16,32,25,0,20,2,,,2,,,2,,,1,3,12000,2,,,2,,,1,2,16000,2,,"LF01",,1,2,1.5,0,,,,,
11,"2199-001",11,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"2199-001",12,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"2199-001",13,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"2199-001",14,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"2199-001",15,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,"2199-001",16,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"2200-001",1,1,1,7,2,0,,2,,,2,,,2,,,1,2,700000,2,,,2,,,1,2,1300000,1,,"LF01",,1,1,60,0,,,,,
2,"2200-001",2,1,20,29,18,0,,2,,,1,1,1,1,2,1,2,,,2,,,1,2,800000,1,7,2100000,1,,"LF01",,2,,,,,,,,
3,"2200-001",3,1,2,6,4,0,,2,,,2,,,2,,,1,1,170000,2,,,2,,,1,1,300000,1,,"LF01",,2,,,,,,,,
4,"2200-001",4,1,5,8,7,0,,2,,,2,,,2,,,2,,,2,,,1,1,400000,2,,,,,,,2,,,,,,,,
5,"2200-001",5,1,5,6,4,0,4,2,,,2,,,2,,,1,2,200000,2,,,2,,,2,,,,,,,2,,,,,,,,
6,"2200-001",6,1,6,9,8,0,8,2,,,2,,,2,,,1,1,150000,2,,,2,,,2,,,,,,,2,,,,,,,,
7,"2200-001",7,1,18,25,8,0,18,2,,,2,,,2,,,1,6,300000,1,1,35000,2,,,1,7,245000,1,,"LF01",,1,3,9,0,,,,,
8,"2200-001",8,1,9,9,4,0,4,2,,,2,,,1,2,1,2,,,2,,,2,,,1,2,100000,1,,"LF01",,1,1,18,0,,,,,
9,"2200-001",9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"2200-001",10,1,40,171,60,0,120,1,7,35000,2,,,1,3,1,1,60,120000,1,7,30000,1,2,2000,1,25,120000,1,,"LF01",,1,12,1.5,0,,,,,
11,"2200-001",11,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"2200-001",12,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"2200-001",13,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"2200-001",14,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"2200-001",15,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,"2200-001",16,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"2201-001",1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"2201-001",2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"2201-001",3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"2201-001",4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"2201-001",5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"2201-001",6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"2201-001",7,1,0,3,2,0,2,2,,,2,,,2,,,1,1,60000,2,,,2,,,2,,,,,,,2,,,,,,,,
8,"2201-001",8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"2201-001",9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"2201-001",10,1,0,17,12,0,5,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,,1,5,5,0,,,,,
11,"2201-001",11,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"2201-001",12,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"2201-001",13,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"2201-001",14,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"2201-001",15,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,"2201-001",16,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"2202-001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"2203-001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"2204-001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"2216-001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"2217-001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"2218-001",1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"2218-001",2,1,0,1,1,0,,1,1,280000,2,,,2,,,2,,,2,,,2,,,2,,,,,,,2,,,,,,,,
3,"2218-001",3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"2218-001",4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"2218-001",5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"2218-001",6,1,0,1,1,0,2,1,1,70000,2,,,2,,,2,,,2,,,2,,,2,,,,,,,2,,,,,,,,
7,"2218-001",7,1,0,9,6,0,2,2,,,2,,,2,,,2,,,2,,,2,,,1,2,120000,1,2,"LF01",,1,1,15,0,,,,,
8,"2218-001",8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"2218-001",9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"2218-001",10,1,0,30,1,0,10,1,1,4000,2,,,2,,,1,20,40000,2,,,2,,,1,6,60000,1,2,"LF01",,1,4,1.5,0,,,,,
11,"2218-001",11,1,1,9,2,0,7,2,,,2,,,2,,,2,,,1,4,20000,2,,,1,2,24000,1,2,"LF01",,1,3,2.5,0,,,,,
12,"2218-001",12,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"2218-001",13,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"2218-001",14,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"2218-001",15,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,"2218-001",16,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"2219-001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"2220-001",1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"2220-001",2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"2220-001",3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"2220-001",4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"2220-001",5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"2220-001",6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"2220-001",7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"2220-001",8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"2220-001",9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"2220-001",10,1,0,0,4,0,0,1,4,20000,2,,,2,,,2,,,2,,,2,,,2,,,,,,,2,,,,,,,,
11,"2220-001",11,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"2220-001",12,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"2220-001",13,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"2220-001",14,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
